,宣传平台,活动分类,组织名称,联系方式,活动类型,具体活动,活动链接,针对用户群体,活动时间,活动频率,活动场地,活动价格,活动收藏量,浏览量
34,活动行-生活,文艺,,,,虎众音乐吉他体验课,https://www.huodongxing.com/event/5599418511112?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月30日16:30,,广东深圳宝安区宝星智荟城1号楼13楼会议室,,,62
35,活动行-生活,文艺,,,,虎众音乐流行声乐体验课,https://www.huodongxing.com/event/6599418136412?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月30日14:30,,广东深圳宝安区宝星智荟城1号楼13楼会议室,,,49
36,活动行-生活,文艺,,,,虎众音乐吉他体验课,https://www.huodongxing.com/event/7595532968300?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月09日16:30,,广东深圳宝安区宝星智荟城1号楼13层,,,60
37,活动行-生活,文艺,,,,虎众音乐流行声乐体验课,https://www.huodongxing.com/event/5595403867000?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月09日14:30,,广东深圳宝安区宝星智荟城1号楼13层会议室,,,113
38,活动行-生活,文艺,,,#插花#昆曲,花道与昆曲体验,https://www.huodongxing.com/event/6593377760400?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月17日15:00,,广东深圳南山区公园路141~157号City花园城-2栋碧梦轩,,,286
39,活动行-生活,文艺,,,#昆曲,深圳 | 吕佳老师昆曲身段面授课第2期,https://www.huodongxing.com/event/2593200347800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月01日09:00,,广东深圳南山区公园路141~157号City花园城-2栋碧梦轩,,,483
40,活动行-生活,文艺,,,,PINK FLOYD主题黑胶分享会,https://www.huodongxing.com/event/4597670958000?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月22日15:00,,广东深圳福田区笋岗西路深业上城CEEC(Loft-D4)4楼腾讯WeSpace(深圳),,,193
41,活动行-生活,文艺,,,#亲子#电影#社会,6.01 飞地观影会：儿童节专题《何以为家》放映,https://www.huodongxing.com/event/4599856931000?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月01日19:30,,广东深圳欢乐海岸购物商场2楼飞地书局,,,304
42,活动行-生活,文艺,,,#魔女的盛宴#艺术展#时尚,2021·第三届魔女的盛宴丨深圳站【延期】,https://www.huodongxing.com/event/2595359560900?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月03日19:00,,广东深圳南山区望海路1187号海上世界文化艺术中心设计互联,,,39000
43,活动行-生活,文艺,,,,虎众音乐吉他体验课,https://www.huodongxing.com/event/1598410855912?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月23日16:30,,广东深圳宝安区宝星智荟城1号楼13楼会议室,,,72
44,活动行-生活,文艺,,,#即兴#一人一故事#戏剧,一人一故事 · STUCK · Playback Theatre,https://www.huodongxing.com/event/7599104008000?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月29日20:00,,广东深圳华侨城LOFT创意文化园F-1栋101-104号My Coffee(创意文化园店),,,611
45,活动行-生活,文艺,,,#艺术论坛,艺术论坛预告｜过去与未来之间BETWEEN PAST AND FUTURE,https://www.huodongxing.com/event/2592224666900?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月18日16:00,,广东深圳福田区深南大道与福科三路交叉路口往西南约50米(大中华国际金融中心)宏艺空间,,,723
46,活动行-生活,文艺,,,#一树#展览#深圳展览,约等于 Approximate —— 王叶子个展开幕式,https://www.huodongxing.com/event/6592077763600?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日15:00,,广东深圳福田区园岭六街园岭新村74栋103Arbre一树,,,88
47,活动行-生活,文艺,,,#画展#群展#当代,宏藝空間展览｜四月維夏 Early Summer —— 李勇、應麥可、张惠玲联展,https://www.huodongxing.com/event/2597254681300?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月10日17:30,,广东深圳深南大道1003号 GREAT ART SPACE 宏艺空间,,,160
48,活动行-生活,文艺,,,#展览#免费#开幕,【开幕报名，请务必填写防疫问卷】易连个展：折叠折叠折叠折叠,https://www.huodongxing.com/event/3592656460800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月14日16:30,,广东深圳龙岗区龙翔大道2001号香港中文大学(深圳)TC101空间,,,1166
49,活动行-生活,文艺,,,#交友#周末活动#表演训练,燃剧厂『演员的诞生』 表演训练系列课程,https://www.huodongxing.com/event/7594670101512?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月09日14:00,,广东深圳福田区益田路荣超商务中心B座4楼WeWork(从东门广东华兴银行进),,,357
50,活动行-生活,文艺,,,#交友#周末活动#即兴,燃剧厂『爱谁谁！』即兴戏剧体验活动 | 没剧本、没台词、没排练，一切表演基于本能和即兴发挥,https://www.huodongxing.com/event/9593346438412?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月18日14:00,,广东深圳益田路6003号荣超商务中心B座4层WeWork(荣超商务中心),,,816
51,活动行-生活,文艺,,,#交友#周末活动#舞蹈,燃剧厂『肢体&Play』接触即兴活动 | 人人皆可舞,https://www.huodongxing.com/event/8598562101012?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月22日10:30,,广东深圳福田区安托山七路美您公园4楼江湖影院多功能厅,,,115
52,活动行-生活,文艺,,,,/塔外 · 看展/「函三」@万一空间,https://www.huodongxing.com/event/6592403319100?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日11:00,,广东深圳万一空间（海上艺术文化中心2层）,,,71
53,活动行-生活,文艺,,,#交友#周末活动#聚会,燃剧厂演员招募面试,https://www.huodongxing.com/event/2594518956614?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月24日13:00,,广东深圳龙岗区坂田街道南坑社区五和大道与雅南路交汇处 星河world Tower C 33楼,,,383
54,活动行-生活,文艺,,,#交友#周末活动#聚会,表演技巧√ 好玩有趣√ 结交新朋友√ 无门槛 の 表演训练体验课,https://www.huodongxing.com/event/4592369959012?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日14:00,,广东深圳福田区益田路荣超商务中心B座4楼WeWork,,,456
55,活动行-生活,文艺,,,#治愈#解压#沙龙,【619车间首期特惠】康珠-颂钵疗愈沙龙,https://www.huodongxing.com/event/7598260951400?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月21日20:00,,广东深圳红岭中路南国大厦1栋13层Himalayan动禅瑜伽舍,,,105
56,活动行-生活,文艺,,,#儿童节#公益#好物分享,童趣好物分享会｜619车间线下活动,https://www.huodongxing.com/event/7598532566200?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月29日15:30,,广东深圳兰光科技园B619,,,315
57,活动行-生活,文艺,,,,徐文治瓶花公开课—瓶花与陈设,https://www.huodongxing.com/event/5600677203400?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月05日10:00,,广东深圳紫竹七道18号中国经贸大厦4J,,,163
58,活动行-生活,文艺,,,#对谈#交流,随机对谈 | “自我实现” OR “自我剥削”,https://www.huodongxing.com/event/6598431479800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月23日19:30,,广东深圳南山区招商街道龙电花园B区4栋1楼精神宣言,,,57
59,活动行-生活,文艺,,,,新展预告｜置身“视”外 —— 梁廷玮、梁星昊双个展 Stand and Stare,https://www.huodongxing.com/event/7601006989300?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月06日15:00,,广东深圳福田区彩田路大中华国际金融中心宏艺空间,,,39
60,活动行-生活,文艺,,,#亲子#社会#电影,6.06 飞地观影会：儿童节专题《何以为家》放映交流,https://www.huodongxing.com/event/2599857987700?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月06日15:00,,广东深圳欢乐海岸购物商场2楼飞地书局,,,121
61,活动行-生活,文艺,,,#日本甜品#日本文化#甜品,日式樱花水信玄饼DIY体验,https://www.huodongxing.com/event/5596084128312?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,05月02日14:00,,广东深圳南山区南新路2098号苏豪名厦,,,203
62,活动行-生活,文艺,,,#吉他#音乐#乐器,学吉他活动你弹我唱快速学会吉他 音乐才艺培训活动课程,https://www.huodongxing.com/event/9595398089412?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月27日18:00,,广东深圳车公庙地铁站-C口,,,153
63,活动行-生活,手工,,,,【深圳丨6.12周六下午】cp11.0线上互选配对，我们来谈场7天的恋爱吧,https://www.huodongxing.com/event/1600563314600?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e5%88%97%e5%9b%be%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月12日14:30,,广东深圳报名成功后请联系组织者微信，统一发活动通知,,,385
64,活动行-生活,手工,,,#手冲咖啡#社交活动#桌游社交,深圳福田社交活动｜手冲咖啡体验课（边喝+边玩认识新朋友）,https://www.huodongxing.com/event/6600434554612?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e5%88%97%e5%9b%be%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月21日08:00,,广东深圳福田区福华路350号岗厦皇庭大厦L1层十日谈(皇庭中心店),,,102
65,活动行-生活,手工,,,,过端午 包粽子 做香囊 体验传统文化,https://www.huodongxing.com/event/8599289258100?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,06月12日14:00,,广东深圳南山区南山大道1105号海润工业区56号缘天使生活美学,,,217
66,活动行-生活,手工,,,#深圳时装周#欢乐海岸#时尚嘉年华,AW 21/22深圳时装周欢乐海岸时尚嘉年华——“时尚再生”艺术手工坊,https://www.huodongxing.com/event/7591396925100?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月13日15:00,,广东深圳南山区白石路东8号OPLAZA欢乐海岸购物中心,,,1603
67,活动行-生活,手工,,,#艺术,五彩线的绽放，让艺术触手可及,https://www.huodongxing.com/event/1592518410100?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日14:30,,广东深圳华强北路1058号华强北现代之窗大厦五楼华强北博物馆,,,173
68,活动行-生活,手工,,,#艺术#艺术设计,CIAD × Course | 牛年 · 首期 Workshop！来场泥巴高端局吧！,https://www.huodongxing.com/event/1591649154800?utm_source=%e5%8f%91%e7%8e%b0%e6%b4%bb%e5%8a%a8%e9%a1%b5&utm_medium=&utm_campaign=eventspage,,04月10日09:00,,广东深圳福田区福中三路1006号诺德中心4H,,,215
